"","V1"
"advert",0.127415572300494
"advertiser",0.0330764356181819
"advertisers",0.0556684860177282
"advertising",0.0488825105759799
"advice",0.028869683766991
"advise",0.0652215994191305
"adviser",0.079971507490048
"advisers",0.0315559790492742
"advisor",0.0260943865460401
"advisors",0.0273586905086459
"advisory",0.0229401351695958
"advocacy",0.059930963780897
"advocate",0.0527215268414763
"advocates",0.162830229474783
"aed",0.0360023899796243
"aegis",0.230959549552282
"aer",0.0685968506452454
"aerospace",0.0319634528955744
"afc",0.0862132174880419
"aff",0.0520587792892755
"affairs",0.0363061365553261
"affiliate",0.034007848742498
"affiliates",0.0501203984423961
"affluent",0.0785856908224044
"afin",0.0658510329593733
"afl",0.0445302961504706
"aforementioned",0.128503535329842
"africa",0.0372322794115965
"african",0.0322014171255518
"africans",0.0518191396713102
"afs",0.13504492632399
"age",0.0259202193282114
"agencies",0.0387374447532792
"agency",0.024224956561109
"agencys",0.154041611225473
"agenda",0.0469997853165426
"agent",0.036108650522195
"agents",0.0467266028554503
"aggregate",0.128563321138593
"aggregation",0.0374787492608082
"aggregators",0.148885647786091
"aggressive",0.0507153527098727
"agile",0.0280798899653665
"agility",0.0354545083578389
"agm",0.0729305807954557
"agora",0.0343365272678348
"agree",0.173923004320888
"agreement",0.0446011556029146
"agreements",0.134679551063456
"agricole",0.0541095086856245
"agricultural",0.106638194013774
"agriculture",0.038195064726238
"agrifood",0.0710733714080407
"agritech",0.0291238154986192
"ahmad",0.110153090930956
"ai",0.0171850215115535
"aia",0.0442375904867109
"aid",0.0220590269430262
"aig",0.0890181533299496
"ail",0.120469861027722
"ailed",0.106814505857486
"aim",0.0251609006849296
"ain",0.0677743472510252
"aio",0.0338815902172997
"aion",0.0470653528312745
"air",0.0488794618438643
"airbus",0.0353905895672377
"aire",0.0490121517432589
"airlines",0.0609567981731811
"airlocks",0.0632930313414054
"airtel",0.0487678678264439
"airways",0.0495485105480942
"ais",0.0233327580434624
"aj",0.152840183799239
"ajay",0.105189587885407
"al",0.0420296532422436
"alameda",0.0580998289631273
"alba",0.0426121478680912
"albert",0.0725868968146931
"albion",0.0742848409545843
"alc",0.442700872828401
"alert",0.0418118741355997
"alex",0.0251833335637412
"alexa",0.0249799372442132
"alexis",0.0455268191613404
"alfa",0.0915809975062246
"algorithm",0.0335271355640946
"algorithmic",0.0576934468499889
"algorithmically",0.0737210988897775
"algorithms",0.0601083591438707
"alia",0.0580053985290807
"alibaba",0.0368048602354192
"align",0.0866396039705219
"alison",0.0821664939897772
"alist",0.6959665109442
"all",0.0305195906915152
"allee",0.0628025523137263
"allegation",0.049349467100844
"allege",0.16945275293249
"allen",0.0984460409591683
"alley",0.0557120618565097
"alliance",0.0423534922721843
"alliances",0.0878012059659256
"allied",0.0239746692510894
"allison",0.0629374265948126
"allium",0.197081103390982
"allocate",0.129059797113833
"allow",0.0218926079366043
"allows",0.055673064197482
"allpay",0.0616542931448003
"allround",0.129812695531028
"almanac",0.125460626615076
"alpha",0.0310337081504674
"alphabets",0.0385533350089185
"alt",0.0424242049227863
"alter",0.222789215321024
"alternative",0.0263100115534874
"alternatives",0.0317788087814881
"altimeter",0.171859188938255
"alum",0.0705000297777846
"alumni",0.13871952529747
"always",0.0975724065272601
"amal",0.124508022170923
"amaze",0.0548148795092841
"amazon",0.0203575381399928
"amazons",0.0502674540514933
"amb",0.0335586864155535
"amba",0.0511463627916563
"ambit",0.0342170210244724
"ambition",0.0293674204998197
"amd",0.0450653286288706
"ame",0.0418889262943733
"amelia",0.0343971918743486
"amend",0.0776067958274654
"america",0.0282837862152776
"american",0.0208417509375806
"americans",0.0210697857029124
"americas",0.0316985630687612
"ames",0.042329668656941
"amex",0.0338714729960748
"amf",0.10645265157967
"amici",0.123744285865256
"amish",0.0362542391290569
"aml",0.0201541881771268
"amla",0.0418587386169736
"amn",0.0698484827189888
"amon",0.0344299813941828
"amount",0.0452106003360042
"ample",0.111605341657328
"ams",0.0305859357017088
"amsterdam",0.0542490650250403
"analogue",0.0613480542846111
"analysis",0.0162126313672809
"analyst",0.0299180632566997
"analysts",0.0293727709743427
"analytic",0.101125275313675
"analytical",0.0877576385058706
"analytics",0.0258330404641878
"anand",0.0578117415076419
"anchor",0.0665498957048895
"ancient",0.125040597424756
"anders",0.0604738586797708
"andfinancial",0.230959549552282
"andor",0.0483059583890715
"andra",0.0387212130285911
"andrew",0.031026539241675
"andrews",0.0614949397899044
"android",0.0213346446778607
"andy",0.0645618657621386
"anecdote",0.0612907513302606
"angel",0.0298607586508181
"angeles",0.0557120618565097
"angels",0.0395373874979207
"angie",0.104915076463938
"angolan",0.108547649969607
"angular",0.168303941960976
"animal",0.131787141842725
"anna",0.0429627314963472
"anne",0.053450593583072
"announce",0.0438084408551368
"announcement",0.0418120789827786
"annual",0.0763719987551816
"anonymous",0.0760378833517083
"anorak",0.213177908194211
"anoraks",0.213177908194211
"another",0.057302065095122
"answer",0.0360866639021004
"ant",0.0307610290416958
"anti",0.05944989687129
"antifraud",0.0548867439923086
"antitrust",0.0856441682152417
"antler",0.0412225309715959
"anxiety",0.0520873797775251
"anyone",0.0281280702477292
"anything",0.0404085673657153
"anytime",0.112303021299004
"anywhere",0.0920923850668944
"aol",0.0637942823067342
"aon",0.0370608316181151
"ap",0.088312876183749
"apex",0.0336160062714224
"api",0.0218765858802936
"apis",0.0325034787860152
"apn",0.16505025609727
"apo",0.0568561089163301
"apollo",0.0530341610705345
"app",0.0225282911126525
"appeal",0.0276924485431203
"appeals",0.0387567224074678
"appear",0.0371613234848018
"appetite",0.0503858404793445
"apple",0.0198800535416056
"apples",0.0271283831841723
"appliances",0.0392456560608527
"applicant",0.048330512746042
"application",0.023711396477048
"applications",0.0388494637533896
"applied",0.0374275819708471
"apply",0.0241400013042064
"applying",0.0503395676292502
"appointment",0.0261558818372017
"appreciate",0.027362826863029
"apprehension",0.103690788341149
"apprentice",0.100903258772842
"apprenticeship",0.101424601278058
"approach",0.0393554449682878
"appropriate",0.0264499531107449
"approve",0.0238490923462362
"approximate",0.156591931529381
"apps",0.0254366008400859
"april",0.0315809797423624
"aps",0.0816523806595777
"apx",0.0556684860177282
"aql",0.1253218238651
"aqua",0.0719419617761659
"aquiline",0.0833947248476111
"ar",0.0983806250373098
"arab",0.0331295938144884
"arabia",0.03406364560264
"arabian",0.0332129350624576
"arabic",0.0756246603488
"arbitrage",0.0418889262943733
"arbor",0.0398862007756534
"arca",0.0441535048592667
"arcadia",0.129662559279075
"arch",0.0562103294423198
"archaic",0.111248827759309
"archer",0.0671017816521208
"archers",0.087895122954053
"arches",0.176363096700188
"architects",0.136972663252858
"architecture",0.0345495352221779
"archiver",0.0293727709743427
"archiving",0.0293727709743427
"arcus",0.393680151868582
"area",0.0265164925440474
"arenas",0.1218341839519
"argentina",0.152264116536372
"argentine",0.0629709560095286
"argentinian",0.0515297270833487
"argument",0.0410341147094957
"argyle",0.167732443151118
"argyles",0.195779447584141
"aria",0.0453024114186141
"arise",0.176616466709602
"arizona",0.076738903535525
"ark",0.0740505832016607
"arm",0.0464886235665582
"armed",0.0532672801574613
"arms",0.0452441729781624
"army",0.168885310870581
"arnold",0.060807773080233
"arpu",0.197945764701848
"arrange",0.0636696853356314
"arrangements",0.0400087874332417
"array",0.0740348386701229
"arrays",0.0335586864155535
"arrival",0.0329970458806598
"arrow",0.262502177209879
"arrowroot",0.0452441729781624
"arsenal",0.164957905106015
"art",0.0376327361699088
"artesian",0.12659608844806
"arthouse",0.0561850650338286
"arthritis",0.0761801732637499
"article",0.0362809323343919
"artificial",0.0384633626043535
"artist",0.0561850650338286
"artistic",0.0656555148031166
"arts",0.0239840535801535
"arun",0.0743381573485536
"arvato",0.196479398059958
"asa",0.041874899299362
"ascendant",0.036648932815783
"ascension",0.0430057344182044
"ascensions",0.0748836360567175
"ascent",0.163311035869303
"ascertain",0.14929582777481
"asean",0.043898039068704
"ashare",0.130527279466741
"asi",0.104915076463938
"asia",0.0255884291061277
"asian",0.0325238943978261
"ask",0.0445724722105919
"askari",0.059490325251309
"asn",0.160410795989367
"asos",0.066163108871013
"asp",0.0582563836010941
"aspect",0.114970553197907
"aspiration",0.0713272676936418
"aspire",0.036912526999413
"aspx",0.0423356997887959
"assassin",0.0335586864155535
"assembly",0.0730312687883179
"assertion",0.0740948928919079
"assess",0.0455504401450581
"assessment",0.0836508921348808
"asset",0.0205956541041145
"assets",0.0258009117163061
"assign",0.146447306478772
"assignment",0.212307244787462
"assimilate",0.185718418198277
"assimilation",0.0498543297349421
"assist",0.113435213172274
"assistance",0.0558006362910726
"assistant",0.0518378374080976
"assistants",0.0761801732637499
"assistive",0.0294585728210366
"assoc",0.0649060384482223
"associate",0.0567880031274358
"associated",0.0377145557504267
"associates",0.0400195817972083
"association",0.0392768033359235
"associations",0.0616532905573304
"assume",0.0279472642870549
"assurance",0.0264529271740558
"assurances",0.076663195700918
"assure",0.0453330985426365
"asto",0.323387982748029
"asu",0.123116187142324
"atari",0.0866267289460222
"ath",0.106520010726445
"atlanta",0.0364477482259303
"atlantic",0.0279037572326683
"atlantis",0.0523617252331715
"atlas",0.0378053368853538
"atm",0.0244012695789796
"ato",0.0417309224351095
"atom",0.0434078301543729
"atomic",0.0548220594962354
"atoms",0.0669437590870892
"atrium",0.0660232143258518
"ats",0.0415194104385608
"att",0.0265402682176142
"attach",0.0524568550786443
"attack",0.0274719685411113
"attacker",0.0452441729781624
"attend",0.109355313566021
"attendance",0.156678315900569
"attendee",0.0410728043475946
"attending",0.089599966201381
"attention",0.0964938775322591
"attitude",0.0960680363917252
"attitudes",0.0643907383777635
"attract",0.0349579660381313
"attraction",0.0372593121664994
"au",0.163989612182921
"auc",0.0604862439156225
"auckland",0.108966642710571
"audi",0.0682510495780374
"audience",0.0348058819007967
"audit",0.0570466586652015
"auditing",0.0753692621032059
"auditor",0.0576397706963525
"augment",0.0336777871233142
"augmentation",0.104265031290252
"augmented",0.0966110143085902
"augur",0.0359103473014449
"aurora",0.0323688257337788
"aus",0.0582360828301532
"aussie",0.095781311465006
"aussies",0.343722423487006
"austin",0.0848785172524584
"australia",0.0298169437656594
"australian",0.0243060115065075
"australians",0.0716302048120523
"austrian",0.0398079815210803
"authenticate",0.0686306027139357
"authentication",0.0503572217420205
"authenticator",0.240010294327112
"authorities",0.0473839602189633
"authority",0.0328268421584843
"authorize",0.110699779327448
"auto",0.0302387326778216
"autocomplete",0.163289131322049
"automate",0.026953306359599
"automated",0.0246783019383748
"automation",0.0246913998346011
"automotive",0.0404220043442582
"autonomous",0.0285648047584684
"autonomy",0.0862639546392878
"autumn",0.0574459919097206
"availability",0.0425947576637256
"avalanche",0.059930963780897
"avant",0.0483845070164945
"avantgarde",0.0537831951796734
"avanti",0.0422357375738193
"avenues",0.1358483902819
"aviation",0.0358633075700624
"avid",0.0593897561377985
"avoid",0.0511600745474979
"avoidance",0.141284772060526
"avon",0.146396610260477
"award",0.0433131016592577
"awards",0.0465631893217014
"awardwinning",0.0208317476611984
"awareness",0.0414549040922813
"aws",0.0429360905827422
"axiom",0.0502380295842811
"axis",0.143692320298907
"azure",0.0413186547654802
"baas",0.0458967350023955
"bab",0.0752245901398005
"bachelor",0.0361233548544507
"back",0.086920045328311
"backbreaking",0.0458537808990664
"backdrop",0.0519969324100391
"backed",0.0684991538432922
"backend",0.113190721691652
"backends",0.43242422209747
"backer",0.165268197930461
"background",0.0326485009543579
"backing",0.0591578884944954
"backlog",0.0905029348285516
"backoffice",0.0498678137222519
"bacon",0.0719529899802322
"bad",0.0701566896884774
"badminton",0.0579663767817584
"bae",0.0431163092903625
"bag",0.0381581663053353
"baha",0.0628025523137263
"bahamas",0.0293727709743427
"bahrain",0.0477921454273217
"bain",0.028538377915972
"bajaj",0.0462438894465642
"baker",0.184422771878678
"bakery",0.042027976168805
"balance",0.0225321708179889
"balanced",0.0536304019167455
"balances",0.0817405616052284
"ball",0.0777828069554897
"baltic",0.114109457280531
"baltimore",0.0677577401859323
"bam",0.0453879399097225
"ban",0.11833024461768
"banca",0.0381668884557945
"bancaire",0.0507238675978836
"banco",0.0306530191482218
"band",0.0832424727630814
"bandar",0.0451693395433929
"banders",0.0442852772579507
"bang",0.120332793395165
"bangko",0.0433025732448539
"bangkok",0.0970369403575028
"bangladesh",0.147353529875439
"bank",0.0237232787228103
"banker",0.0273164043499975
"bankers",0.04689259308341
"banking",0.0250432925324101
"bankrupt",0.21149003096441
"banks",0.0349740030492393
"banque",0.042989064955492
"baptist",0.0293727709743427
"bar",0.0661906707868452
"barbera",0.120565434605371
"barcelona",0.0736382297208074
"barclays",0.0289557666032552
"bargepole",0.0522843070499826
"barnett",0.391943793952373
"barometer",0.0676599048765982
"barracuda",0.190844405181644
"barrier",0.0852397081121571
"barriers",0.134043648622519
"barrow",0.143988484180899
"base",0.034128823619412
"basecamp",0.199886198828008
"based",0.082182442680597
"basel",0.0555302831203768
"basic",0.0578066134432756
"basics",0.16552149904119
"basil",0.0502242189765769
"basket",0.0253915285236312
"bates",0.13245294883265
"bath",0.138276781112266
"bathwater",0.0594891560430245
"battery",0.0550034272875021
"bauer",0.088312876183749
"bay",0.0708673453884529
"bayern",0.0424412726769405
"bayesian",0.0627850508316356
"bayside",0.0848354867821985
"bazaar",0.0452441729781624
"bbb",0.0653253103562551
"bbc",0.0205919299066567
"bbi",0.0492900972358239
"bbls",0.0479881512503881
"bcc",0.0562568828916779
"bcp",0.0696059948484322
"bcr",0.0289537967263511
"bcs",0.0284704513307434
"bdp",0.0672960169534824
"bea",0.129726712081668
"beach",0.117063141724736
"beacon",0.105523680058325
"beacons",0.105523680058325
"beam",0.0263018167914317
"beams",0.0297928651340963
"beanstalk",0.0496766364264764
"beats",0.0720565939072448
"beautiful",0.0552235207976186
"beauty",0.0581632952542267
"becky",0.0403759646299197
"beco",0.035100736923481
"become",0.0272351055760589
"bee",0.0933347782174421
"beehive",0.0439484735938287
"beer",0.0341740857911809
"beers",0.0613480542846111
"befit",0.0948053325785525
"begin",0.0283596883484301
"beginner",0.134857741261485
"behalf",0.0492836379143395
"behemoth",0.188095764563574
"behind",0.078810282534135
"bei",0.084593034219114
"beijing",0.0333109174330067
"beirut",0.065065325068439
"belgian",0.0496052321803622
"belgium",0.101552960392258
"belief",0.060799459453056
"believe",0.0214202474376701
"bell",0.0474583129335916
"belonging",0.0790192068731302
"belt",0.0868358042400479
"ben",0.0619170067814602
"benchmark",0.0357733024856979
"benchmarking",0.0602896007438366
"benchmarks",0.142982687731339
"benedict",0.0492643414243187
"benefactions",0.0696569598410717
"beneficiary",0.292961643742951
"benefit",0.0302805900252042
"bengali",0.222789215321024
"benjamin",0.098407993077901
"bens",0.0491820210944677
"benson",0.064615336167195
"bentley",0.0697912142412395
"bento",0.0422756186342367
"berger",0.103719251904029
"berkeley",0.0342454766195215
"berlin",0.0403156627175816
"berman",0.0829333136251833
"bermuda",0.050583873088184
"berry",0.0527238313759853
"bespoke",0.0515606541148103
"best",0.0549964253097061
"beta",0.102466893102676
"betfair",0.0707254137100772
"better",0.0250012009481792
"bettering",0.261214809502246
"betterment",0.0350161169034126
"beyond",0.0510817703453024
"bfi",0.0737728924264204
"bharat",0.0457608960935829
"bian",0.0477519665104327
"bias",0.0693332225798225
"bible",0.065988847242567
"bic",0.0819918833268486
"big",0.0318523657982976
"bigname",0.109475449418511
"bike",0.0492900972358239
"bill",0.029501928773852
"biller",0.0414133227529991
"billers",0.0592290116527406
"billie",0.169815327888687
"billing",0.0951791447642184
"billion",0.02921121267367
"billiondollar",0.0338573486875032
"billon",0.0872791140656456
"bin",0.0489868509175161
"binational",0.0338815902172997
"biological",0.0840257877183624
"biometric",0.0232065023647568
"biometrics",0.0255236178774796
"biomimicry",0.254552035008271
"biophilia",0.307227002571326
"bioscience",0.067766435880435
"biotech",0.0443487167137763
"bip",0.137948224491706
"birch",0.152566050838477
"bird",0.0338815902172997
"birmingham",0.0578590625699102
"birthplace",0.051744224956176
"bis",0.0496538703321747
"bit",0.0500353569255423
"bittorrent",0.0457417555680067
"black",0.0264717885150153
"blackberry",0.235201507725632
"blackbox",0.210017785179954
"blackfin",0.0422482109574524
"blackstone",0.199639615207992
"blanc",0.0786431116722296
"blank",0.0992956263730558
"blanket",0.181129986862497
"blend",0.0628025523137263
"blender",0.190255445965607
"blessing",0.0753692621032059
"block",0.0339095971131914
"blocks",0.0920379664998091
"bloomberg",0.0209869703977926
"blossom",0.0823322336571313
"blue",0.0734272116848922
"bluechip",0.0789259107480417
"bluecollar",0.0597047001453666
"bluetooth",0.0265743573621405
"blur",0.137146794232973
"bmi",0.0888245004281299
"bmw",0.0270211717712502
"bn",0.0293681759570443
"bni",0.086424670844756
"bnp",0.0230663187564196
"bo",0.0896725168217098
"boa",0.0892396622042492
"board",0.0315623932575352
"boarding",0.239233336734281
"boards",0.0525354462597698
"bob",0.0264294769053533
"body",0.105546592545788
"boe",0.0534233439846713
"boeing",0.0661631316567901
"boes",0.0920303933521445
"bold",0.0503234359754961
"bolero",0.0816576910164241
"boleros",0.318098701810206
"bolster",0.181129986862497
"bond",0.0508909667377631
"bonds",0.095781311465006
"bono",0.0437946916795776
"bonus",0.156205032125961
"book",0.0282265386890014
"booking",0.0520998114056501
"bookkeepers",0.0481248323944609
"books",0.0377391540550991
"boom",0.071907478134364
"boost",0.0236682953349941
"booster",0.0347548231570121
"bootcamp",0.04947199095001
"booth",0.0363914344909682
"booths",0.0687781764974917
"boots",0.0877818010402913
"bootstrapped",0.117203922446704
"bootstrapping",0.190069743970295
"bora",0.0982189573976566
"border",0.050913675784474
"borderless",0.0829937686079995
"borders",0.0465401262570148
"boris",0.201044946971722
"born",0.0778266634346227
"borough",0.0941645627668354
"borrower",0.0873546949683685
"borrowing",0.0496919910419314
"bose",0.153926561094807
"boson",0.0471831718775809
"boston",0.0443594833029612
"bot",0.0386238473001836
"bots",0.054187088141299
"bott",0.147100636310794
"bottom",0.0861100712222128
"bottomline",0.0697859762092292
"bounce",0.039173347540776
"bounceback",0.0701566896884774
"bound",0.0569496193665478
"bourse",0.0422482109574524
"bow",0.0400967653470955
"bowls",0.0612085295475038
"bowman",0.112947529421971
"box",0.0328376152480162
"boys",0.044486027447135
"bp",0.076280392272651
"bpm",0.050720736879403
"bpo",0.0335573147993254
"brace",0.0362542391290568
"brack",0.0480086355341248
"braeburn",0.119310472616581
"brain",0.0990411194827432
"brainpower",0.0557120618565097
"brake",0.0455268191613404
"bramble",0.153764881407837
"brambles",0.153764881407837
"branch",0.0504274948118725
"branches",0.0468753953331058
"branchless",0.162598259789316
"brand",0.0277801320711067
"branding",0.0936474113069065
"brandon",0.044486027447135
"brands",0.0235467451095351
"brasil",0.101125275313675
"brave",0.0492173377741824
"bravo",0.0969332097497887
"brazil",0.0362699423289346
"brazilian",0.0224949567176401
"brazilians",0.095237953398899
"breach",0.0516852114854093
"bread",0.0884575049373006
"breadth",0.0524474234570531
"break.",0.0191790255797325
"breakthrough",0.162830229474783
"breathing",0.0949741295030025
"breathtaking",0.103494824678906
"brendan",0.158379366162015
"brent",0.049349467100844
"brewing",0.0719529899802322
"brick",0.0410623019771059
"bricks",0.111608738489432
"bridge",0.0495489139038688
"bridges",0.155807631462759
"bridging",0.040530528396223
"brief",0.0382313332790422
"brilliant",0.0522442695381244
"bring",0.02768741110084
"brisbane",0.137989914744211
"bristol",0.0317950499278426
"brit",0.0461093833410235
"britain",0.0270802756987676
"british",0.0262667308746736
"brits",0.0215726596619909
"brittany",0.0984460409591683
"broadband",0.0542232751343456
"broadcom",0.133580175248139
"broadening",0.0798575030516009
"broader",0.0371888389026194
"broadway",0.148731501668454
"brock",0.0428604459786709
"broken",0.139785625570731
"broker",0.033816276778291
"brokerage",0.0524048668137984
"brokers",0.0231613376169307
"broking",0.039173347540776
"bronze",0.0737728924264204
"bros",0.0271897374929424
"brother",0.0527342294097183
"brothers",0.0249867453432347
"brown",0.163668294380793
"brussels",0.0551886400514641
"bryant",0.0893097961275751
"bsc",0.086424670844756
"bsp",0.106582323108093
"bst",0.0428856376831512
"btl",0.102415982846442
"bubble",0.237137167243871
"bud",0.0979102371168616
"budding",0.245319667506586
"buddy",0.0381581663053353
"budget",0.0281237319775002
"budgeting",0.147913201937247
"buffet",0.230873306139317
"build",0.0413311723260192
"builder",0.0712818515974187
"builders",0.0492900972358239
"building",0.0205752780083804
"built",0.0541229587940973
"builtin",0.030324139724109
"bulbs",0.117773021595606
"bulk",0.262502177209879
"bull",0.0409039353967012
"bullet",0.132207758863821
"bulls",0.128605668641677
"bundle",0.0475311921012164
"bungalow",0.29907915671907
"burberry",0.0489235933195487
"burden",0.0612493970601948
"bureau",0.0251275584008587
"bureaucracy",0.0840733615131527
"bureaus",0.0451062603215964
"burgeon",0.0259693702437449
"burn",0.0606888652587419
"burning",0.236039808865228
"busines",0.191749713243757
"business",0.0248983612579743
"businesses",0.0270139958647435
"businessowner",0.0480086355341248
"businesswomen",0.0973264174227423
"butcher",0.364923913046669
"butterfly",0.0616330406589269
"butternut",0.0480086355341248
"button",0.0789562189009334
"buttons",0.370763713393785
"bux",0.0596149990027406
"buy",0.019160140745923
"buyback",0.031461876616708
"buyer",0.0317750817867597
"buying",0.0853601438819038
"buyouts",0.134864191204538
"buyside",0.105754745583978
"buzz",0.0774593311075064
"bypass",0.0410341147094957
"byzantine",0.0429400009074636
"cabinet",0.0319853618624666
"cable",0.125391337870701
"cad",0.0290277151936667
"caf",0.0579663767817584
"caffe",0.0422414644744165
"caffe.1",0.0700878063106362
"cafe",0.195983636781847
"cairo",0.0565271841072066
"calculate",0.306295972423755
"calculator",0.0772146928210731
"calgary",0.118579742504431
"caliber",0.0414516660031273
"california",0.0302837750052299
"californian",0.128158581409608
"call",0.0287342432468124
"calorie",0.0727554046263496
"calypso",0.0247571798922668
"cambridge",0.0404325438618399
"camel",0.0836609098326073
"cameron",0.112989159019001
"camp",0.0720565939072448
"campaign",0.0299884165922143
"campbell",0.0452211510668906
"campus",0.0987555931710382
"canada",0.0327869596935239
"canadian",0.0247781974622536
"canadians",0.0506130486313325
"canal",0.046044111709236
"canary",0.162461952675592
"cancel",0.124648253991319
"cancellation",0.100632033020628
"cancer",0.0285444185492531
"candidates",0.0580053985290807
"cando",0.212611264654896
"canning",0.167213950136368
"cap",0.069239612886978
"capabilities",0.0482761858472688
"capability",0.0258485071502778
"capable",0.104502903402052
"capacity",0.0342850174996485
"cape",0.0556869155912896
"capital",0.0216283138668424
"capitalists",0.0343365272678348
"capitals",0.0306429707736515
"capsule",0.172490419988234
"capture",0.0435791729231527
"caput",0.0307653423704847
"car",0.0300184775714416
"carbon",0.0456525036141209
"carbone",0.042329668656941
"card",0.0242798017722901
"cardholder",0.0797380886995309
"cardiff",0.0567851425302358
"cardless",0.0945441076493178
"cards",0.0263707755288694
"care",0.0374121801272905
"career",0.053293698089601
"careers",0.0566889510565088
"careful",0.380863570576853
"cares",0.110743409202255
"cargo",0.0335586864155535
"caribbean",0.0959851715986353
"carlisle",0.0715118365786655
"carlton",0.10040903351233
"carne",0.0343365272678348
"carnet",0.242891598308073
"carney",0.101898362878622
"carpenter",0.135708743143736
"carrick",0.0968642299216028
"carrier",0.0764057863929364
"carriers",0.262502177209879
"carry",0.0336728048285301
"cars",0.111317994594434
"cart",0.133040868054264
"carta",0.0259686595186136
"carte",0.0507238675978836
"case",0.0286435913337868
"cash",0.0163849103138862
"cashback",0.193596516926474
"cashew",0.0754896941590649
"cashflow",0.0720091537163413
"cashflows",0.0621487785031341
"cashier",0.191888032087405
"cashless",0.0315889252510319
"cashout",0.333585833216906
"cashouts",0.263598011888659
"casino",0.0662216391099639
"cass",0.0537949030916305
"cassava",0.0687007352833672
"castle",0.0775624090548909
"castles",0.0525277971504622
"cat",0.08563618794525
"catalan",0.0879091362444582
"catalyst",0.0359317392852943
"catapult",0.0666512694424477
"catch",0.0747257698226529
"category",0.0474336914782378
"caterer",0.199886198828008
"catering",0.0271300491882043
"catherine",0.0955875085180981
"cato",0.0501203984423961
"cause",0.0620618574634096
"causes",0.0510473015101324
"caution",0.0445351618436321
"cautionary",0.0818943981914938
"cav",0.267922293054031
"caveat",0.133133992601438
"cavendish",0.0418118741355997
"caymans",0.0428604459786709
